Crop_Type,Soil_Type,Soil_pH,Soil_Organic_Carbon,Total_Nitrogen,Available_Phosphorus,Available_Potassium,Bulk_Density,Rainfall,Temperature,Humidity,Wind_Speed,Evapotranspiration,Soil_Moisture_Level,Growth_Stage,Fertilizer_Type,Fertilizer_Treatment,Application_Rate,Application_Method,Coating_Type,Irrigation_Type,Water_Amount,Total_Fertilizer_Loss_kg_ha,Fertilizer_Loss_Percentage,Nitrogen_Loss,Phosphorus_Loss,Potassium_Loss
Citrus,Clay,6.17,2.39,114.64,40.74,57.6,1.36,2.08,17.93,61.71,3.74,4.32,High,Late,PK,CF,132.7,Drip,Controlled_Release,Sprinkler,25.62,37.31,28.12,18.66,11.19,7.46
Corn,Loamy,8.02,0.75,161.57,48.65,210.31,1.45,112.67,29.42,67.5,1.98,7.64,Medium,Mid,NK,OF,193.24,Broadcast,Normal,Sprinkler,48.8,76.71,39.7,38.35,23.01,15.34
Vegetable,Clay,6.93,0.58,100.88,11.74,128.84,1.16,36.75,23.99,91.89,3.28,7.68,Low,Initial,Urea,CF,137.56,Foliar,Controlled_Release,Sprinkler,74.09,46.81,34.03,23.4,14.04,9.36
Wheat,Loamy,8.04,0.71,227.56,48.32,83.84,1.45,92.18,33.96,69.89,5.16,3.9,Medium,Mid,PK,CF,116.85,Broadcast,Normal,Drip,20.96,61.64,52.75,30.82,18.49,12.33
Citrus,Clay,6.92,1.7,277.2,37.95,168.73,1.39,70.72,35.59,72.73,2.99,5.6,Medium,Late,PK,CF,175.68,Foliar,Biochar,Flood,20.87,64.62,36.78,32.31,19.39,12.92
Wheat,Clay,7.17,1.61,50.65,43.49,187.17,1.26,83.31,37.44,74.82,4.93,3.8,Low,Mid,Urea,CF,172.34,Broadcast,Controlled_Release,Drip,40.74,66.49,38.58,33.24,19.95,13.3
Citrus,Clay,8.49,1.84,189.06,31.23,393.58,1.52,98.14,15.22,90.68,1.45,4.34,High,Mid,NPK,CF,125.69,Drip,Normal,Flood,11.53,59.53,47.36,29.76,17.86,11.91
Vegetable,Sandy,8.35,1.24,233.08,44.45,209.34,1.33,59.11,35.35,61.69,1.28,6.42,High,Initial,NPK,CF,90.75,Drip,Normal,Flood,56.22,53.11,58.52,26.56,15.93,10.62
Rice,Clay,6.32,1.28,276.8,71.73,388.65,1.3,4.09,30.55,90.32,0.59,2.54,Low,Initial,PK,CF,79.61,Broadcast,Controlled_Release,Flood,62.46,30.11,37.82,15.06,9.03,6.02
Citrus,Loamy,8.11,1.59,139.61,65.15,306.34,1.19,115.59,23.03,71.97,0.71,7.52,High,Mid,PK,OF,65.5,Foliar,Normal,Drip,12.45,53.06,81.01,26.53,15.92,10.61
Wheat,Loamy,6.67,0.66,276.79,53.12,138.58,1.23,96.35,23.37,43.07,1.79,2.14,Low,Mid,NPK,OF,88.05,Drip,Normal,Drip,32.83,53.2,60.42,26.6,15.96,10.64
Vegetable,Sandy,5.71,2.1,256.39,53.86,295.69,1.24,77.08,29.06,62.19,5.64,5.09,Medium,Mid,Urea,OF,104.32,Foliar,Normal,Drip,15.07,51.38,49.25,25.69,15.41,10.28
Citrus,Sandy,7.23,2.35,181.3,72.68,190.93,1.3,106.64,15.12,44.79,5.93,6.65,Low,Initial,PK,CF,107.66,Foliar,Controlled_Release,Drip,74.8,50.51,46.92,25.26,15.15,10.1
Rice,Loamy,8.43,1.27,114.24,43.58,252.75,1.35,110.86,23.3,51.55,0.88,3.55,High,Mid,Urea,CF,162.35,Broadcast,Controlled_Release,Flood,12.16,69.79,42.99,34.9,20.94,13.96
Rice,Clay,8.42,1.98,213.2,47.75,231.74,1.6,105.27,37.46,59.9,4.01,6.31,Low,Initial,Urea,OF,154.88,Broadcast,Normal,Drip,57.43,62.08,40.08,31.04,18.62,12.42
Corn,Loamy,5.88,1.6,115.14,70.21,376.14,1.37,17.09,31.25,92.89,2.92,2.65,High,Initial,Urea,OF,115.19,Drip,Controlled_Release,Sprinkler,40.69,39.91,34.65,19.95,11.97,7.98
Corn,Sandy,7.81,0.97,137.21,62.83,95.4,1.33,87.46,18.9,72.32,4.52,6.53,High,Late,PK,CF,75.73,Drip,Controlled_Release,Flood,79.05,53.36,70.46,26.68,16.01,10.67
Wheat,Sandy,7.91,0.64,166.75,40.31,205.38,1.42,38.28,35.82,94.08,0.53,3.82,High,Initial,NPK,OF,93.61,Broadcast,Biochar,Flood,11.34,49.05,52.4,24.52,14.71,9.81
Citrus,Loamy,6.61,0.99,174.49,31.37,78.41,1.48,5.08,33.21,56.87,5.84,7.01,Low,Mid,Urea,OF,155.78,Drip,Biochar,Drip,43.97,44.56,28.6,22.28,13.37,8.91
Citrus,Clay,7.48,1.71,97.29,46.25,139.16,1.59,33.46,16.62,76.77,3.58,5.79,High,Initial,NK,CF,142,Drip,Normal,Sprinkler,75.6,49.39,34.78,24.7,14.82,9.88
Corn,Clay,6.96,0.58,223.45,18.44,76.89,1.6,78.56,39.11,70.11,5.83,2.44,High,Late,NK,CF,153.95,Foliar,Controlled_Release,Flood,18.39,68.99,44.81,34.49,20.7,13.8
Citrus,Sandy,6.18,2.17,297.98,57.63,378.54,1.53,109.54,35.57,61.5,5.19,4.02,Low,Mid,NPK,CF,110.96,Drip,Controlled_Release,Sprinkler,23.68,57.14,51.5,28.57,17.14,11.43
Citrus,Loamy,7.78,2.44,110.97,42.51,160.21,1.12,82.89,18.57,89.95,1.53,5.18,Low,Late,Urea,OF,72.71,Foliar,Controlled_Release,Drip,61.89,38.72,53.25,19.36,11.62,7.74
Rice,Loamy,6.29,0.67,188.63,51.65,323.45,1.12,69.8,36.81,65.86,3.74,5.65,Medium,Initial,PK,CF,104.61,Drip,Controlled_Release,Drip,70.64,58.52,55.94,29.26,17.56,11.7
Corn,Sandy,6.52,0.99,163.68,69.23,311.99,1.26,40.04,38.14,61.62,2.03,4.77,Medium,Mid,Urea,CF,72.3,Foliar,Controlled_Release,Flood,38.82,48.05,66.46,24.02,14.42,9.61
Vegetable,Loamy,6.07,1.85,126.94,34.94,99.14,1.53,26.58,27.73,53.29,2.67,6.13,High,Late,NK,CF,88.4,Drip,Biochar,Drip,55.45,36.99,41.84,18.5,11.1,7.4
Corn,Sandy,7.66,2.11,154.95,44.8,99.37,1.48,66.19,22.24,80.84,4.57,3.75,High,Initial,Urea,CF,89.39,Broadcast,Controlled_Release,Sprinkler,41.24,45.48,50.88,22.74,13.64,9.1
Vegetable,Clay,6.88,1.19,233.18,48.9,182.28,1.41,58.06,29.09,73.68,5.77,6.71,High,Mid,NPK,CF,179.43,Drip,Controlled_Release,Drip,16.79,60.21,33.56,30.1,18.06,12.04
Rice,Clay,6.83,1.53,153.68,29.61,249,1.2,82.22,32.31,53.32,1.43,5.73,Medium,Initial,NPK,OF,133.29,Drip,Normal,Drip,58.57,57.28,42.97,28.64,17.18,11.46
Wheat,Loamy,7.31,2.28,176.69,29.24,199.35,1.59,64.52,21.36,85.13,2.67,3.3,High,Initial,NK,OF,162.09,Broadcast,Normal,Drip,58.73,55.69,34.36,27.84,16.71,11.14
Citrus,Clay,5.97,1.27,169.31,46.84,318.79,1.55,49.9,22.02,92.17,2.4,6.49,Medium,Initial,Urea,OF,81.97,Drip,Biochar,Flood,71.39,37.35,45.57,18.68,11.2,7.47
Rice,Clay,8.19,0.66,188.81,28,237.58,1.56,101.68,34.25,77.9,4.11,7.48,Medium,Initial,Urea,OF,115.36,Broadcast,Controlled_Release,Sprinkler,35.86,60.1,52.1,30.05,18.03,12.02
Citrus,Sandy,6.9,2.49,122.8,70.28,358.65,1.35,95.41,31.74,63.2,2.99,4.51,Medium,Initial,NPK,CF,169.82,Foliar,Controlled_Release,Sprinkler,71.77,67.74,39.89,33.87,20.32,13.55
Wheat,Sandy,6.6,0.86,177.43,79.64,257.34,1.28,97.62,23.85,83.54,5.02,4.56,Medium,Mid,NK,OF,115.29,Foliar,Controlled_Release,Sprinkler,40.2,60.24,52.25,30.12,18.07,12.05
Wheat,Loamy,5.88,0.6,83.71,24.76,257.33,1.42,10.93,24.26,70.48,0.71,2.19,Low,Late,PK,OF,143.85,Broadcast,Controlled_Release,Drip,49.25,44.52,30.95,22.26,13.36,8.9
Rice,Sandy,6,1.32,235.35,50.27,280.89,1.43,17.9,33.31,41.53,5.71,3.67,Low,Late,Urea,OF,72.9,Foliar,Biochar,Sprinkler,69.11,32.6,44.72,16.3,9.78,6.52
Wheat,Loamy,8.26,0.74,77.73,20.18,261.05,1.56,24.05,23.62,76.01,5.96,3.21,High,Late,Urea,CF,175.63,Broadcast,Controlled_Release,Drip,78.16,55.2,31.43,27.6,16.56,11.04
Vegetable,Loamy,6.87,2.46,246.24,22.99,264.24,1.39,109.19,22.72,81.8,5.91,5.37,High,Late,NPK,OF,166.31,Foliar,Controlled_Release,Drip,57.95,66.83,40.18,33.42,20.05,13.37
Wheat,Sandy,7.67,1.26,256.39,63.62,207.4,1.54,43.41,34.17,55.91,2.16,6.1,Low,Mid,NPK,OF,114.38,Broadcast,Biochar,Sprinkler,68.85,47.45,41.48,23.72,14.24,9.49
Citrus,Clay,5.74,2.15,54.77,23.98,81.69,1.26,78.61,25.43,56.37,1.78,6.75,High,Late,PK,OF,197.16,Foliar,Normal,Flood,10.47,69.4,35.2,34.7,20.82,13.88
Citrus,Clay,7.43,0.85,257.71,62.43,179.12,1.12,5.08,34.78,58.1,0.97,5.53,Low,Initial,PK,OF,121.38,Broadcast,Biochar,Sprinkler,23.34,36.44,30.02,18.22,10.93,7.29
Citrus,Clay,8.26,0.78,212.04,38.28,318.91,1.32,87.98,35.05,77.35,4.98,6.22,Low,Mid,Urea,CF,145.33,Broadcast,Normal,Flood,26.26,68.02,46.8,34.01,20.41,13.6
Citrus,Clay,6.4,1.8,74.23,43.56,63.3,1.2,91.57,38.87,52.28,5.44,6.95,High,Late,PK,CF,131.7,Broadcast,Normal,Drip,76.02,61.34,46.58,30.67,18.4,12.27
Vegetable,Loamy,7.24,2.32,299.48,28.16,291.72,1.49,89.47,30.95,79.03,2.39,3.2,Medium,Initial,NK,OF,99.19,Broadcast,Biochar,Flood,50.17,43.93,44.29,21.96,13.18,8.79
Corn,Clay,8.32,0.73,203.87,48.43,393.3,1.5,5.22,32.64,46.29,1.43,6.24,Medium,Mid,NPK,CF,122.68,Broadcast,Biochar,Sprinkler,69.05,43.38,35.36,21.69,13.01,8.68
Rice,Loamy,7.66,1.68,150.21,33.21,202.59,1.49,11.79,25.69,68.28,4.75,3.43,Medium,Late,NK,CF,130.28,Foliar,Biochar,Flood,66.42,43.83,33.64,21.92,13.15,8.77
Citrus,Sandy,5.69,0.67,271.3,22.22,124.34,1.33,89.11,30.26,81.54,2.52,2.73,Low,Late,NPK,OF,112.88,Foliar,Biochar,Flood,13.74,54.95,48.68,27.48,16.48,10.99
Wheat,Sandy,6.64,2.12,60.41,19.74,58.05,1.55,75.22,20.17,76.73,4.3,2.07,High,Initial,NK,OF,101.4,Foliar,Biochar,Sprinkler,71.71,47.06,46.41,23.53,14.12,9.41
Citrus,Loamy,5.76,2.32,229.34,79.98,349.16,1.32,43.69,31.43,74.28,2.85,4.96,High,Mid,Urea,OF,163.48,Drip,Controlled_Release,Flood,23.22,52.53,32.13,26.26,15.76,10.51
Wheat,Clay,8.08,1.76,85.93,34.19,101.59,1.4,66.52,37.75,80.29,4.42,6.58,Medium,Late,NK,CF,82.06,Broadcast,Normal,Sprinkler,68.14,46.87,57.12,23.44,14.06,9.37
Wheat,Loamy,7.36,1.88,188.13,66.34,65.1,1.21,0.44,19.53,46.69,4.4,4.63,High,Initial,PK,CF,160.25,Drip,Controlled_Release,Sprinkler,13.94,44.05,27.49,22.02,13.21,8.81
Citrus,Clay,8.37,0.61,73.99,33.9,219.9,1.11,51.74,28.23,69.12,5.16,2.06,Low,Late,NPK,OF,185.77,Broadcast,Controlled_Release,Drip,11.53,57.13,30.75,28.56,17.14,11.43
Vegetable,Clay,5.56,0.65,219.79,53.61,183.61,1.4,20.04,20.75,85.3,4.25,6.76,High,Initial,NPK,CF,182.89,Broadcast,Controlled_Release,Sprinkler,79.38,60.05,32.83,30.02,18.01,12.01
Wheat,Loamy,6.77,0.86,166.23,68.88,385.93,1.43,115.92,17.05,64.11,5.11,6.73,High,Initial,NPK,OF,115.34,Broadcast,Controlled_Release,Drip,73.35,61.74,53.53,30.87,18.52,12.35
Wheat,Loamy,5.81,1.05,51.68,58.72,211.88,1.56,38.03,17.11,52.61,1.82,4.28,High,Late,Urea,CF,90.75,Broadcast,Biochar,Drip,27.81,39.49,43.52,19.74,11.85,7.9
Citrus,Clay,6.55,2.02,67.85,14.84,342.4,1.52,95.65,20.51,45.06,2.55,7.4,Medium,Mid,NPK,OF,180.41,Broadcast,Controlled_Release,Flood,27.56,62.06,34.4,31.03,18.62,12.41
Wheat,Loamy,5.99,1.37,225.76,23.49,376.2,1.49,15.26,23.55,86.42,5.25,4.79,Low,Mid,Urea,OF,122.82,Foliar,Controlled_Release,Sprinkler,41.37,32.51,26.47,16.26,9.75,6.5
Wheat,Clay,6.49,0.66,149.86,71.15,114.49,1.45,21.61,20.5,91.65,4.49,6.06,High,Mid,NK,CF,107.03,Foliar,Normal,Flood,58.07,43.85,40.97,21.92,13.16,8.77
Citrus,Loamy,7.96,2.21,218.04,42.99,171.22,1.32,83.77,34.73,74.49,1.85,3.89,High,Late,PK,CF,186,Drip,Normal,Drip,78.75,69.29,37.25,34.65,20.79,13.86
Citrus,Sandy,5.98,2.49,147.46,51.89,373.15,1.34,92.76,16.83,40.42,2.08,4.06,Medium,Mid,Urea,OF,76.07,Broadcast,Normal,Sprinkler,22.26,44.28,58.21,22.14,13.28,8.86
Rice,Clay,6.92,1.41,140.42,11.71,244.55,1.49,107.85,16.06,42.56,2.7,2.09,Medium,Late,Urea,CF,85.76,Drip,Normal,Flood,48.58,57.84,67.44,28.92,17.35,11.57
Vegetable,Sandy,8.26,1.52,263.73,44.11,162.94,1.18,83.33,19.55,49.46,1.16,4.33,Low,Mid,Urea,OF,123.02,Broadcast,Biochar,Sprinkler,46.65,54.33,44.16,27.16,16.3,10.87
Vegetable,Loamy,8.5,0.66,263.7,40.16,232.18,1.46,84.91,20.77,40.61,5.06,7.16,Medium,Late,NPK,CF,121.89,Broadcast,Controlled_Release,Drip,26.65,59.78,49.04,29.89,17.93,11.96
Wheat,Sandy,6.25,1.27,279.95,58.03,305.91,1.41,27.91,31.63,68.54,1.43,4.3,Low,Mid,NPK,CF,79.18,Broadcast,Biochar,Sprinkler,73.12,34.86,44.03,17.43,10.46,6.97
Vegetable,Loamy,8.31,1.24,255.76,29.21,266.42,1.21,113.51,15.13,55.27,5.34,4.35,Medium,Initial,PK,CF,100.47,Broadcast,Normal,Sprinkler,27.81,56.47,56.21,28.24,16.94,11.29
Wheat,Clay,6.28,2.43,81.86,62.07,376.76,1.32,85.53,37.85,50.22,2.51,6.83,High,Mid,NPK,OF,111.46,Broadcast,Controlled_Release,Flood,60.03,49.71,44.6,24.86,14.91,9.94
Rice,Loamy,6.74,1.82,66.62,56.96,387.04,1.49,21.29,22.09,62.12,0.62,5.71,Medium,Late,Urea,CF,161.83,Foliar,Normal,Drip,20.64,46.2,28.55,23.1,13.86,9.24
Citrus,Loamy,8.13,2.06,64.6,45.68,299.01,1.16,77.88,17.58,48.91,2.48,5.54,High,Initial,Urea,OF,198.57,Foliar,Biochar,Flood,26.82,65.68,33.08,32.84,19.7,13.14
Citrus,Clay,7.86,0.76,295.05,36.3,282.3,1.41,97.15,38.83,72.37,2.79,6.25,High,Mid,NK,OF,193.75,Broadcast,Normal,Flood,21.79,79.4,40.98,39.7,23.82,15.88
Citrus,Loamy,8.07,1.33,175.29,31.14,54.75,1.31,55.6,37.59,44.25,0.83,3.59,High,Mid,NPK,OF,153.62,Broadcast,Controlled_Release,Sprinkler,75.67,56.21,36.59,28.1,16.86,11.24
Vegetable,Clay,7.9,0.88,78.79,47.46,324.29,1.23,40.51,17.14,53.77,2.49,2.46,High,Initial,Urea,OF,102.23,Broadcast,Controlled_Release,Drip,25.46,40.72,39.83,20.36,12.22,8.14
Rice,Loamy,6.21,2.22,186.07,50.38,224.8,1.55,103.16,26.08,44.96,3.29,5.94,Medium,Late,Urea,OF,137.63,Broadcast,Normal,Flood,44.47,56.76,41.24,28.38,17.03,11.35
Vegetable,Clay,7.18,0.8,227.57,41.37,356.12,1.34,102.57,30.78,89.38,5.73,3.12,Low,Mid,PK,CF,118.21,Broadcast,Biochar,Drip,51.37,57.51,48.65,28.76,17.25,11.5
Vegetable,Sandy,6.66,1.38,73.62,32.44,376.59,1.59,94.23,34.63,57.29,1.8,5.94,Medium,Initial,NK,CF,61.63,Broadcast,Biochar,Flood,51.68,46.79,75.92,23.4,14.04,9.36
Rice,Loamy,6.88,0.61,136.6,71.59,179.15,1.42,24.59,39.55,81.49,2.15,7.51,Medium,Mid,PK,OF,106.35,Drip,Controlled_Release,Drip,53.75,45.37,42.66,22.68,13.61,9.07
Rice,Loamy,5.96,1.77,96.96,31.71,366.91,1.27,67.2,33.97,47.1,0.69,6.25,Medium,Initial,PK,OF,112.22,Broadcast,Biochar,Sprinkler,32.05,46.24,41.2,23.12,13.87,9.25
Rice,Loamy,6.45,1.46,293.86,57.05,280.85,1.25,52.81,28.58,82.6,1.06,7.33,High,Late,NK,CF,84.69,Broadcast,Controlled_Release,Flood,43.13,45.46,53.68,22.73,13.64,9.09
Rice,Clay,8.07,1.5,129.56,73.34,199.83,1.45,83.71,15.86,66.65,3.57,6.32,Low,Mid,NPK,CF,64.35,Broadcast,Normal,Flood,29.35,41.21,64.04,20.6,12.36,8.24
Citrus,Loamy,8.19,0.7,222.63,55.28,67.77,1.27,107.42,20.13,80.99,5.79,3.87,High,Initial,Urea,OF,123.03,Drip,Biochar,Sprinkler,64.46,57.75,46.94,28.88,17.32,11.55
Corn,Clay,7.33,1.53,279.61,35.61,309.75,1.39,29.62,36.72,66.84,5.79,6.61,Low,Late,NPK,CF,60.86,Foliar,Controlled_Release,Sprinkler,40.13,31.42,51.63,15.71,9.43,6.28
Corn,Loamy,6.99,1.63,265.8,30.8,362.62,1.38,37.2,24.85,49.45,2.46,5.17,Medium,Late,PK,OF,184.42,Foliar,Controlled_Release,Drip,10.25,58.8,31.88,29.4,17.64,11.76
Rice,Sandy,7.64,2.43,148.49,69.74,253.81,1.11,28.38,17.55,47.13,0.7,5.89,Medium,Late,NK,OF,75.66,Drip,Controlled_Release,Drip,51.58,28.73,37.97,14.36,8.62,5.75
Corn,Loamy,7.33,0.57,127.73,44.3,191,1.45,90.81,34.91,52.2,2.07,7.55,Medium,Late,PK,CF,160.82,Foliar,Biochar,Sprinkler,79.14,73.09,45.45,36.54,21.93,14.62
Corn,Sandy,8.45,2.35,252.31,51.54,208.01,1.38,59.64,18.04,65.55,3.83,2.9,High,Initial,PK,CF,133.83,Drip,Normal,Drip,31.8,49.34,36.87,24.67,14.8,9.87
Rice,Clay,6.07,1.46,101.29,51.74,297.82,1.51,57.16,22.09,67.17,4.69,7.31,Low,Initial,NPK,CF,182.23,Broadcast,Biochar,Flood,51.57,55.29,30.34,27.64,16.59,11.06
Corn,Sandy,6.85,0.92,229.33,47.37,119.39,1.57,59.46,15.73,66.95,4.8,3.99,Low,Mid,NPK,CF,98.74,Broadcast,Controlled_Release,Drip,24.07,48.11,48.72,24.06,14.43,9.62
Vegetable,Loamy,8.25,1.83,258.82,75.19,121.54,1.34,36.97,22.43,73.1,5.72,2.46,Medium,Initial,Urea,CF,175.61,Broadcast,Controlled_Release,Sprinkler,36.19,55.35,31.52,27.68,16.6,11.07
Wheat,Loamy,8.24,1.53,262.31,75.17,171.46,1.49,27.46,35.45,46.55,3.08,4.29,Medium,Mid,NPK,CF,191.67,Broadcast,Normal,Drip,16.86,60.25,31.43,30.12,18.08,12.05
Wheat,Clay,6.99,0.95,52.23,12.83,60.44,1.33,96.42,26.1,87.17,1.74,2.9,High,Initial,Urea,OF,106.85,Foliar,Controlled_Release,Flood,43.82,56.63,53,28.32,16.99,11.33
Rice,Loamy,5.9,1.75,174.97,45.4,284.13,1.25,75.56,20.22,87.5,4.85,7.16,Medium,Late,NK,OF,64.51,Broadcast,Normal,Sprinkler,74.62,40.03,62.05,20.02,12.01,8.01
Citrus,Loamy,7.94,1.45,139.4,49.59,206.88,1.55,86.48,26.99,74.15,0.5,7.21,Medium,Late,NPK,CF,178.58,Drip,Biochar,Flood,30.6,69.1,38.69,34.55,20.73,13.82
Rice,Clay,7.26,1.88,294.71,74.79,362.8,1.41,35.9,15.08,85.13,3.33,6.35,Low,Mid,Urea,CF,91.69,Foliar,Normal,Drip,14.04,37.16,40.53,18.58,11.15,7.43
Citrus,Clay,7.82,1.88,186.02,14.88,276.46,1.13,20.7,32.52,50.88,0.8,2.75,High,Mid,PK,CF,128.99,Foliar,Biochar,Flood,50.02,43.57,33.78,21.78,13.07,8.71
Wheat,Sandy,6.89,1.45,156.86,65.24,296.65,1.57,32.51,15.13,67.37,1.81,3.5,Medium,Late,Urea,OF,139.33,Drip,Biochar,Sprinkler,58.76,46.8,33.59,23.4,14.04,9.36
Rice,Clay,6.11,1.28,111.09,54.97,285.15,1.31,107.14,22.85,47.26,5.97,7.14,High,Mid,Urea,CF,164.04,Foliar,Controlled_Release,Drip,74.15,73.23,44.64,36.62,21.97,14.65
Vegetable,Loamy,5.57,0.63,261.41,61.27,196.27,1.43,40.42,19.57,71.04,5.1,3.42,High,Late,PK,OF,119.83,Foliar,Controlled_Release,Flood,63.98,50.62,42.24,25.31,15.19,10.12
Corn,Clay,7.18,1.49,129.84,30.42,376.45,1.58,7.68,38.63,94.08,5.93,7.13,Low,Initial,Urea,CF,158.28,Broadcast,Biochar,Sprinkler,58.62,41.92,26.48,20.96,12.58,8.38
Citrus,Loamy,5.98,0.99,256.69,62.26,370.03,1.37,58.78,18.11,50.61,2.52,7.79,High,Late,NPK,OF,143.67,Drip,Normal,Sprinkler,12.2,55.74,38.8,27.87,16.72,11.15
Corn,Sandy,6.06,0.61,272.9,29.79,218.88,1.4,39.49,30.29,50.55,1.05,2.07,High,Late,NPK,CF,102.54,Foliar,Normal,Drip,54.11,51.62,50.34,25.81,15.49,10.32
Corn,Clay,6.81,1.16,64.54,57.3,322.77,1.19,57.53,24.32,84.7,5.65,3.55,Low,Mid,NK,CF,118.61,Foliar,Normal,Flood,10.6,52.67,44.41,26.34,15.8,10.53
Rice,Loamy,6.83,0.67,177.5,65.09,394.79,1.49,82.72,33.04,62.21,2.34,4.23,High,Late,Urea,CF,148.56,Broadcast,Normal,Flood,48.1,68.89,46.37,34.44,20.67,13.78
Corn,Clay,6.32,1.66,155.09,64.83,165.93,1.36,114.6,23.4,54.65,1.69,2.87,Medium,Initial,NK,OF,167.69,Foliar,Biochar,Drip,16.43,68.1,40.61,34.05,20.43,13.62
Vegetable,Clay,5.9,1.51,148.28,48.11,268.7,1.34,93.48,17.63,51.3,2.95,6.68,Medium,Mid,PK,CF,91.51,Foliar,Controlled_Release,Sprinkler,75.91,49.41,53.99,24.7,14.82,9.88
Corn,Clay,8.33,2.08,142.87,38.95,249.34,1.19,59.36,16.01,71.43,1.73,2.2,Medium,Initial,NPK,OF,68.97,Foliar,Controlled_Release,Sprinkler,37.08,35.24,51.09,17.62,10.57,7.05
Rice,Clay,5.89,1.04,183,27.05,239.27,1.32,92.8,39.76,68.96,5.08,2.79,Medium,Mid,PK,OF,161.8,Broadcast,Biochar,Sprinkler,55.09,67.51,41.72,33.76,20.25,13.5
Vegetable,Sandy,6.55,1.24,82.55,12.34,376.59,1.57,28.74,39.08,90.48,2.32,4.81,Medium,Initial,NK,CF,87.76,Foliar,Normal,Flood,16.62,41.02,46.74,20.51,12.31,8.2
Wheat,Loamy,6.41,1.88,267.82,13.42,94.31,1.29,99.26,20.38,66.2,2.72,5.24,Medium,Late,PK,OF,183.87,Drip,Normal,Drip,19.19,75.04,40.81,37.52,22.51,15.01
Corn,Clay,8.1,2.49,189.5,39.3,230.73,1.21,66.2,17.21,72.25,2.58,7.61,High,Late,NK,CF,112.65,Broadcast,Biochar,Sprinkler,14.6,44.56,39.56,22.28,13.37,8.91
Rice,Loamy,6.73,2.31,136.78,16.65,59.05,1.4,97.47,30.19,66.54,4.21,5.45,Low,Initial,NK,OF,167.58,Foliar,Biochar,Drip,28.39,57.46,34.29,28.73,17.24,11.49
Wheat,Sandy,5.87,1.54,110.76,17.84,157.84,1.35,68.78,32.27,87,2.13,5.42,High,Late,PK,OF,97.73,Drip,Biochar,Drip,52.01,48.37,49.49,24.18,14.51,9.67
Wheat,Loamy,5.53,1.86,204.14,23.63,286.27,1.34,39.79,33.36,46.71,5.77,2.48,Medium,Mid,NK,OF,145.73,Drip,Biochar,Drip,20.91,50.94,34.96,25.47,15.28,10.19
Citrus,Loamy,7.67,1.56,246.68,43.69,323.14,1.18,13.08,37.82,63.85,5.1,7.62,High,Late,PK,CF,89.86,Broadcast,Controlled_Release,Drip,33.5,37.47,41.7,18.74,11.24,7.49
